query_gene,gene,euclidean_distance
ENSG00000182054,ENSG00000178996,0.0003189623530488461
ENSG00000182054,ENSG00000100266,0.0003189623530488461
ENSG00000182054,ENSG00000145715,0.001632972271181643
ENSG00000182054,ENSG00000135074,0.0022430322133004665
ENSG00000182054,ENSG00000099381,0.0024851995985955
ENSG00000182054,ENSG00000139718,0.0024851995985955
ENSG00000134853,ENSG00000143970,0.0008682952029630542
ENSG00000134853,ENSG00000166987,0.0008682952029630542
ENSG00000134853,ENSG00000171456,0.0008682952029630542
ENSG00000134853,ENSG00000141568,0.0008682952029630542
ENSG00000134853,ENSG00000164916,0.0008682952029630542
ENSG00000134853,ENSG00000204406,0.0008682952029630542
ENSG00000134853,ENSG00000154277,0.0008682952029630542
ENSG00000134853,ENSG00000133704,0.0021350085735321045
ENSG00000134853,ENSG00000158019,0.0032293132971972227
ENSG00000134853,ENSG00000105393,0.0032293132971972227
ENSG00000139687,ENSG00000163939,0.001150599680840969
ENSG00000139687,ENSG00000189079,0.001150599680840969
ENSG00000139687,ENSG00000113328,0.0020489857997745275
ENSG00000139687,ENSG00000092871,0.0020489857997745275
ENSG00000139687,ENSG00000077080,0.003722231602296233
ENSG00000139687,ENSG00000114993,0.0047436850145459175
ENSG00000139687,ENSG00000104221,0.005086180754005909
ENSG00000139687,ENSG00000184613,0.006285819225013256
ENSG00000139687,ENSG00000166398,0.006391364149749279
ENSG00000139687,ENSG00000113558,0.00785605888813734
ENSG00000145675,ENSG00000163220,0.0006628208211623132
ENSG00000145675,ENSG00000143546,0.0006628208211623132
ENSG00000145675,ENSG00000158769,0.004021250642836094
ENSG00000145675,ENSG00000146904,0.004446996375918388
ENSG00000145675,ENSG00000075239,0.005666285753250122
ENSG00000145675,ENSG00000204231,0.00885699037462473
ENSG00000145675,ENSG00000114491,0.010963396169245243
ENSG00000145675,ENSG00000102967,0.010963396169245243
ENSG00000145675,ENSG00000084774,0.010963396169245243
ENSG00000145675,ENSG00000159921,0.012082256376743317
ENSG00000162613,ENSG00000237921,0.0
ENSG00000162613,ENSG00000237887,0.0
ENSG00000162613,ENSG00000237886,0.0
ENSG00000162613,ENSG00000237885,0.0
ENSG00000162613,ENSG00000237883,0.0
ENSG00000162613,ENSG00000237882,0.0
ENSG00000162613,ENSG00000237880,0.0
ENSG00000162613,ENSG00000237879,0.0
ENSG00000162613,ENSG00000237877,0.0
ENSG00000162613,ENSG00000237876,0.0
ENSG00000148400,ENSG00000187535,0.0005272715352475643
ENSG00000148400,ENSG00000157796,0.0005272715352475643
ENSG00000148400,ENSG00000163913,0.0005272715352475643
ENSG00000148400,ENSG00000187240,0.0005272715352475643
ENSG00000148400,ENSG00000101052,0.0005272715352475643
ENSG00000148400,ENSG00000114446,0.0005272715352475643
ENSG00000148400,ENSG00000123607,0.0005272715352475643
ENSG00000148400,ENSG00000138002,0.0005272715352475643
ENSG00000148400,ENSG00000118965,0.0005272715352475643
